Protein Group	SubGroup	Protein	Protein ID	Entry Name	Gene Names	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Unique Stripped Peptides	Summarized Total Spectral Count	Summarized Unique Spectral Count	Summarized Razor Spectral Count	aspirin_1 Total Spectral Count	aspirin_1 Unique Spectral Count	aspirin_1 Razor Spectral Count	aspirin_1 Total Ion Count	aspirin_1 Unique Ion Count	aspirin_1 Razor Ion Count	aspirin_1 Total Intensity	aspirin_1 Unique Intensity	aspirin_1 Razor Intensity	aspirin_2 Total Spectral Count	aspirin_2 Unique Spectral Count	aspirin_2 Razor Spectral Count	aspirin_2 Total Ion Count	aspirin_2 Unique Ion Count	aspirin_2 Razor Ion Count	aspirin_2 Total Intensity	aspirin_2 Unique Intensity	aspirin_2 Razor Intensity	aspirin_3 Total Spectral Count	aspirin_3 Unique Spectral Count	aspirin_3 Razor Spectral Count	aspirin_3 Total Ion Count	aspirin_3 Unique Ion Count	aspirin_3 Razor Ion Count	aspirin_3 Total Intensity	aspirin_3 Unique Intensity	aspirin_3 Razor Intensity	control_1 Total Spectral Count	control_1 Unique Spectral Count	control_1 Razor Spectral Count	control_1 Total Ion Count	control_1 Unique Ion Count	control_1 Razor Ion Count	control_1 Total Intensity	control_1 Unique Intensity	control_1 Razor Intensity	control_2 Total Spectral Count	control_2 Unique Spectral Count	control_2 Razor Spectral Count	control_2 Total Ion Count	control_2 Unique Ion Count	control_2 Razor Ion Count	control_2 Total Intensity	control_2 Unique Intensity	control_2 Razor Intensity	control_3 Total Spectral Count	control_3 Unique Spectral Count	control_3 Razor Spectral Count	control_3 Total Ion Count	control_3 Unique Ion Count	control_3 Razor Ion Count	control_3 Total Intensity	control_3 Unique Intensity	control_3 Razor Intensity	Indistinguishable Proteins
1898	a	sp|Q8NFA0|UBP32_HUMAN	Q8NFA0	UBP32_HUMAN	USP32	1604	5.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin carboxyl-terminal hydrolase 32	1.0000	0.9990	5	9	9	9	4	4	4	2	2	2	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	4	4	4	4	4	4	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
1899	a	sp|Q8NFH3|NUP43_HUMAN	Q8NFH3	NUP43_HUMAN	NUP43	380	21.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleoporin Nup43	1.0000	0.9990	4	12	12	12	2	2	2	2	2	2	7.6832392E7	7.6832392E7	7.6832392E7	2	2	2	2	2	2	9.2983232E7	9.2983232E7	9.2983232E7	1	1	1	0	0	0	0.0	0.0	0.0	2	2	2	2	2	2	6.8894968E7	6.8894968E7	6.8894968E7	3	3	3	2	2	2	1.24667672E8	1.24667672E8	1.24667672E8	2	2	2	2	2	2	9.7663232E7	9.7663232E7	9.7663232E7	
1900	a	sp|Q8NFH4|NUP37_HUMAN	Q8NFH4	NUP37_HUMAN	NUP37	326	34.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleoporin Nup37	1.0000	0.9990	6	17	17	17	2	2	2	2	2	2	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	7	7	7	4	4	4	1.29045992E8	1.29045992E8	1.29045992E8	4	4	4	2	2	2	1.22128192E8	1.22128192E8	1.22128192E8	2	2	2	0	0	0	0.0	0.0	0.0	
1901	a	sp|Q8NFH5|NUP35_HUMAN	Q8NFH5	NUP35_HUMAN	NUP35	326	32.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleoporin NUP35	1.0000	0.9990	6	19	19	19	3	3	3	2	2	2	1.39093984E8	1.39093984E8	1.39093984E8	2	2	2	3	3	3	1.25969288E8	1.25969288E8	1.25969288E8	2	2	2	3	3	3	7.9781536E7	7.9781536E7	7.9781536E7	1	1	1	2	2	2	1.10866288E8	1.10866288E8	1.10866288E8	8	8	8	6	6	6	1.8630152E8	1.8630152E8	1.8630152E8	3	3	3	3	3	3	1.38583088E8	1.38583088E8	1.38583088E8	
1902	a	sp|Q8NFJ5|RAI3_HUMAN	Q8NFJ5	RAI3_HUMAN	GPRC5A	357	17.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Retinoic acid-induced protein 3	1.0000	0.9990	5	16	16	16	5	5	5	4	4	4	0.0	0.0	0.0	2	2	2	2	2	2	8.8850944E7	8.8850944E7	8.8850944E7	2	2	2	2	2	2	8.4368056E7	8.4368056E7	8.4368056E7	2	2	2	2	2	2	8.6051712E7	8.6051712E7	8.6051712E7	2	2	2	2	2	2	9.32294E7	9.32294E7	9.32294E7	3	3	3	2	2	2	9.557952E7	9.557952E7	9.557952E7	
1903	a	sp|Q8NFQ8|TOIP2_HUMAN	Q8NFQ8	TOIP2_HUMAN	TOR1AIP2	470	4.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Torsin-1A-interacting protein 2	1.0000	0.9990	1	4	4	4	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	4	4	4	2	2	2	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
1904	a	sp|Q8NFU3|TSTD1_HUMAN	Q8NFU3	TSTD1_HUMAN	TSTD1	115	27.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thiosulfate:glutathione sulfurtransferase	1.0000	0.9990	3	9	9	9	2	2	2	2	2	2	1.56803136E8	1.56803136E8	1.56803136E8	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	2	2	2	2	2	2	1.82656816E8	1.82656816E8	1.82656816E8	2	2	2	2	2	2	1.01647488E8	1.01647488E8	1.01647488E8	
1905	a	sp|Q8NFV4|ABHDB_HUMAN	Q8NFV4	ABHDB_HUMAN	ABHD11	315	36.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein ABHD11	1.0000	0.9990	7	20	20	20	8	8	8	8	8	8	1.52113536E8	1.52113536E8	1.52113536E8	1	1	1	0	0	0	0.0	0.0	0.0	2	2	2	3	3	3	1.3986696E8	1.3986696E8	1.3986696E8	8	8	8	5	5	5	1.4108016E8	1.4108016E8	1.4108016E8	1	1	1	3	3	3	9.85284E7	9.85284E7	9.85284E7	0	0	0	2	2	2	1.16406616E8	1.16406616E8	1.16406616E8	
1906	a	sp|Q8NFW8|NEUA_HUMAN	Q8NFW8	NEUA_HUMAN	CMAS	434	14.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	N-acylneuraminate cytidylyltransferase	1.0000	0.9990	4	21	21	21	5	5	5	5	5	5	1.13089928E8	1.13089928E8	1.13089928E8	3	3	3	2	2	2	1.53298688E8	1.53298688E8	1.53298688E8	4	4	4	2	2	2	1.88385696E8	1.88385696E8	1.88385696E8	2	2	2	2	2	2	9.7827048E7	9.7827048E7	9.7827048E7	2	2	2	3	3	3	6.1039076E7	6.1039076E7	6.1039076E7	5	5	5	2	2	2	2.26022304E8	2.26022304E8	2.26022304E8	
1907	a	sp|Q8NFZ8|CADM4_HUMAN	Q8NFZ8	CADM4_HUMAN	CADM4	388	10.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cell adhesion molecule 4	1.0000	0.9990	3	5	5	5	3	3	3	3	3	3	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
1908	a	sp|Q8NHU6|TDRD7_HUMAN	Q8NHU6	TDRD7_HUMAN	TDRD7	1098	2.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tudor domain-containing protein 7	1.0000	0.9948	2	4	4	4	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	3	3	3	2	2	2	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
1909	a	sp|Q8NI27|THOC2_HUMAN	Q8NI27	THOC2_HUMAN	THOC2	1593	3.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	THO complex subunit 2	1.0000	0.9990	5	17	17	17	0	0	0	0	0	0	0.0	0.0	0.0	4	4	4	3	3	3	7.6446104E7	7.6446104E7	7.6446104E7	5	5	5	0	0	0	0.0	0.0	0.0	4	4	4	2	2	2	1.20601968E8	1.20601968E8	1.20601968E8	2	2	2	2	2	2	6.8359104E7	6.8359104E7	6.8359104E7	2	2	2	2	2	2	9.7530056E7	9.7530056E7	9.7530056E7	
1910	a	sp|Q8NI36|WDR36_HUMAN	Q8NI36	WDR36_HUMAN	WDR36	951	16.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 36	1.0000	0.9990	15	85	85	85	4	4	4	4	4	4	1.5433536E8	1.5433536E8	1.5433536E8	12	12	12	10	10	10	2.47496048E8	2.47496048E8	2.47496048E8	17	17	17	12	12	12	2.71537632E8	2.71537632E8	2.71537632E8	23	23	23	11	11	11	2.72673792E8	2.72673792E8	2.72673792E8	13	13	13	8	8	8	2.42727424E8	2.42727424E8	2.42727424E8	16	16	16	10	10	10	2.3725632E8	2.3725632E8	2.3725632E8	
1911	a	sp|Q8TAD8|SNIP1_HUMAN	Q8TAD8	SNIP1_HUMAN	SNIP1	396	4.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Smad nuclear-interacting protein 1	1.0000	0.9990	1	2	2	2	2	2	2	2	2	2	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
1912	a	sp|Q8TAQ2|SMRC2_HUMAN	Q8TAQ2	SMRC2_HUMAN	SMARCC2	1214	13.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	SWI/SNF complex subunit SMARCC2	1.0000	0.9990	12	44	18	18	14	6	6	9	4	4	1.35643664E8	3.28056E7	3.28056E7	5	3	3	5	3	3	2.0947656E8	1.21996656E8	1.21996656E8	5	1	1	4	0	0	1.72999776E8	0.0	0.0	7	3	3	8	4	4	1.22904056E8	7.76262E7	7.76262E7	7	3	3	5	2	2	1.6641224E8	1.75982816E8	1.75982816E8	6	2	2	4	0	0	1.44708144E8	0.0	0.0	
1913	a	sp|Q8TAT6|NPL4_HUMAN	Q8TAT6	NPL4_HUMAN	NPLOC4	608	21.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear protein localization protein 4 homolog	1.0000	0.9990	14	72	72	72	22	22	22	18	18	18	5.8968666E8	5.8968666E8	5.8968666E8	9	9	9	7	7	7	2.56748704E8	2.56748704E8	2.56748704E8	7	7	7	7	7	7	1.83556992E8	1.83556992E8	1.83556992E8	9	9	9	7	7	7	2.31790224E8	2.31790224E8	2.31790224E8	14	14	14	6	6	6	2.7282528E8	2.7282528E8	2.7282528E8	11	11	11	6	6	6	2.74226784E8	2.74226784E8	2.74226784E8	
1914	a	sp|Q8TB36|GDAP1_HUMAN	Q8TB36	GDAP1_HUMAN	GDAP1	358	4.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ganglioside-induced differentiation-associated protein 1	1.0000	0.9990	2	15	15	15	6	6	6	5	5	5	5.5028045E8	5.5028045E8	5.5028045E8	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	8	8	8	3	3	3	9.8124288E8	9.8124288E8	9.8124288E8	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	
1915	a	sp|Q8TB52|FBX30_HUMAN	Q8TB52	FBX30_HUMAN	FBXO30	745	6.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	F-box only protein 30	1.0000	0.9990	4	8	8	8	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	4	4	4	3	3	3	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	
1916	a	sp|Q8TB72|PUM2_HUMAN	Q8TB72	PUM2_HUMAN	PUM2	1066	4.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pumilio homolog 2	1.0000	0.9990	3	6	6	6	2	2	2	2	2	2	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	3	3	3	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
1917	a	sp|Q8TBA6|GOGA5_HUMAN	Q8TBA6	GOGA5_HUMAN	GOLGA5	731	1.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Golgin subfamily A member 5	1.0000	0.9990	1	2	2	2	2	2	2	2	2	2	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
1918	a	sp|Q8TBB5|KLDC4_HUMAN	Q8TBB5	KLDC4_HUMAN	KLHDC4	520	6.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kelch domain-containing protein 4	1.0000	0.9990	3	10	10	10	3	3	3	2	2	2	1.22332632E8	1.22332632E8	1.22332632E8	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	2	2	2	6.4520048E7	6.4520048E7	6.4520048E7	3	3	3	2	2	2	7.1960288E7	7.1960288E7	7.1960288E7	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	
1919	a	sp|Q8TBC4|UBA3_HUMAN	Q8TBC4	UBA3_HUMAN	UBA3	463	10.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	NEDD8-activating enzyme E1 catalytic subunit	1.0000	0.9990	5	15	15	15	4	4	4	3	3	3	0.0	0.0	0.0	3	3	3	0	0	0	0.0	0.0	0.0	3	3	3	0	0	0	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	
1920	a	sp|Q8TBQ9|KISHA_HUMAN	Q8TBQ9	KISHA_HUMAN	TMEM167A	72	15.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein kish-A	1.0000	0.9990	2	17	17	17	0	0	0	0	0	0	0.0	0.0	0.0	3	3	3	0	0	0	0.0	0.0	0.0	3	3	3	0	0	0	0.0	0.0	0.0	6	6	6	3	3	3	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	3	3	3	0	0	0	0.0	0.0	0.0	
1921	a	sp|Q8TBX8|PI42C_HUMAN	Q8TBX8	PI42C_HUMAN	PIP4K2C	421	13.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	1.0000	0.9990	6	21	21	21	6	6	6	4	4	4	2.6130978E7	2.6130978E7	2.6130978E7	1	1	1	0	0	0	0.0	0.0	0.0	3	3	3	2	2	2	2.458028E7	2.458028E7	2.458028E7	3	3	3	2	2	2	4.3548248E7	4.3548248E7	4.3548248E7	3	3	3	3	3	3	8.4783112E7	8.4783112E7	8.4783112E7	5	5	5	4	4	4	4.98248E7	4.98248E7	4.98248E7	
1922	a	sp|Q8TC07|TBC15_HUMAN	Q8TC07	TBC15_HUMAN	TBC1D15	691	14.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	TBC1 domain family member 15	1.0000	0.9990	7	22	22	22	2	2	2	0	0	0	0.0	0.0	0.0	5	5	5	3	3	3	9.551364E7	9.551364E7	9.551364E7	4	4	4	3	3	3	8.4993704E7	8.4993704E7	8.4993704E7	4	4	4	3	3	3	7.7151776E7	7.7151776E7	7.7151776E7	3	3	3	3	3	3	6.611484E7	6.611484E7	6.611484E7	4	4	4	3	3	3	7.0988968E7	7.0988968E7	7.0988968E7	
1923	a	sp|Q8TCC3|RM30_HUMAN	Q8TCC3	RM30_HUMAN	MRPL30	161	10.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	39S ribosomal protein L30, mitochondrial	1.0000	0.9990	1	2	2	2	2	2	2	2	2	2	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
1924	a	sp|Q8TCF1|ZFAN1_HUMAN	Q8TCF1	ZFAN1_HUMAN	ZFAND1	268	14.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	AN1-type zinc finger protein 1	1.0000	0.9990	4	27	27	27	3	3	3	3	3	3	1.59979312E8	1.59979312E8	1.59979312E8	4	4	4	5	5	5	2.24208144E8	2.24208144E8	2.24208144E8	5	5	5	5	5	5	2.28214544E8	2.28214544E8	2.28214544E8	4	4	4	3	3	3	2.4820552E8	2.4820552E8	2.4820552E8	5	5	5	4	4	4	2.4974936E8	2.4974936E8	2.4974936E8	6	6	6	5	5	5	2.37830096E8	2.37830096E8	2.37830096E8	
1925	a	sp|Q8TCJ2|STT3B_HUMAN	Q8TCJ2	STT3B_HUMAN	STT3B	826	5.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	1.0000	0.9990	5	15	15	15	8	8	8	4	4	4	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	
1926	a	sp|Q8TCS8|PNPT1_HUMAN	Q8TCS8	PNPT1_HUMAN	PNPT1	783	13.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Polyribonucleotide nucleotidyltransferase 1, mitochondrial	1.0000	0.9990	6	21	21	21	3	3	3	3	3	3	1.54791792E8	1.54791792E8	1.54791792E8	3	3	3	4	4	4	1.29985264E8	1.29985264E8	1.29985264E8	4	4	4	4	4	4	1.21815936E8	1.21815936E8	1.21815936E8	4	4	4	3	3	3	1.08138928E8	1.08138928E8	1.08138928E8	4	4	4	4	4	4	1.20304048E8	1.20304048E8	1.20304048E8	3	3	3	2	2	2	1.19094192E8	1.19094192E8	1.19094192E8	
1927	a	sp|Q8TCT8|SPP2A_HUMAN	Q8TCT8	SPP2A_HUMAN	SPPL2A	520	2.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Signal peptide peptidase-like 2A	1.0000	0.9990	2	11	11	11	1	1	1	0	0	0	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	
1928	a	sp|Q8TD16|BICD2_HUMAN	Q8TD16	BICD2_HUMAN	BICD2	824	3.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein bicaudal D homolog 2	1.0000	0.9990	2	2	2	2	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
1929	a	sp|Q8TD19|NEK9_HUMAN	Q8TD19	NEK9_HUMAN	NEK9	979	5.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein kinase Nek9	1.0000	0.9990	2	6	6	6	3	3	3	3	3	3	2.78327648E8	2.78327648E8	2.78327648E8	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	3	3	3	2	2	2	1.35987632E8	1.35987632E8	1.35987632E8	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
1930	a	sp|Q8TDD1|DDX54_HUMAN	Q8TDD1	DDX54_HUMAN	DDX54	881	13.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX54	1.0000	0.9990	10	24	24	24	6	6	6	6	6	6	9.7981776E7	9.7981776E7	9.7981776E7	2	2	2	4	4	4	8.5592704E7	8.5592704E7	8.5592704E7	2	2	2	4	4	4	7.247296E7	7.247296E7	7.247296E7	10	10	10	7	7	7	8.6121624E7	8.6121624E7	8.6121624E7	3	3	3	3	3	3	9.6384792E7	9.6384792E7	9.6384792E7	1	1	1	0	0	0	0.0	0.0	0.0	
1931	a	sp|Q8TDQ7|GNPI2_HUMAN	Q8TDQ7	GNPI2_HUMAN	GNPDA2	276	24.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glucosamine-6-phosphate isomerase 2	1.0000	0.9990	5	30	6	6	6	2	2	6	2	2	3.65040704E8	0.0	0.0	6	1	1	3	0	0	2.36217168E8	0.0	0.0	3	0	0	3	0	0	1.3043572E8	0.0	0.0	6	0	0	3	0	0	2.4221312E8	0.0	0.0	6	2	2	3	0	0	1.78923104E8	0.0	0.0	3	1	1	2	0	0	2.49116272E8	0.0	0.0	
1932	a	sp|Q8TE77|SSH3_HUMAN	Q8TE77	SSH3_HUMAN	SSH3	659	15.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein phosphatase Slingshot homolog 3	1.0000	0.9990	5	9	9	9	5	5	5	3	3	3	7.1635632E7	7.1635632E7	7.1635632E7	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	2	2	2	2	2	2	1.23258216E8	1.23258216E8	1.23258216E8	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
1933	a	sp|Q8TED0|UTP15_HUMAN	Q8TED0	UTP15_HUMAN	UTP15	518	6.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	U3 small nucleolar RNA-associated protein 15 homolog	1.0000	0.9990	3	6	6	6	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	2	2	2	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	
1934	a	sp|Q8TEL6|TP4AP_HUMAN	Q8TEL6	TP4AP_HUMAN	TRPC4AP	797	5.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Short transient receptor potential channel 4-associated protein	1.0000	0.9990	2	6	6	6	2	2	2	2	2	2	8.7418632E7	8.7418632E7	8.7418632E7	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	2	2	2	2	2	2	9.3705008E7	9.3705008E7	9.3705008E7	0	0	0	0	0	0	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	
1935	a	sp|Q8TEM1|PO210_HUMAN	Q8TEM1	PO210_HUMAN	NUP210	1887	14.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear pore membrane glycoprotein 210	1.0000	0.9990	18	82	82	82	19	19	19	11	11	11	7.9757664E8	7.9757664E8	7.9757664E8	0	0	0	2	2	2	2.0012376E8	2.0012376E8	2.0012376E8	7	7	7	6	6	6	2.0504192E8	2.0504192E8	2.0504192E8	44	44	44	12	12	12	1.24483853E9	1.24483853E9	1.24483853E9	4	4	4	4	4	4	1.19749672E8	1.19749672E8	1.19749672E8	8	8	8	5	5	5	9.2163416E7	9.2163416E7	9.2163416E7	
1936	a	sp|Q8TEQ6|GEMI5_HUMAN	Q8TEQ6	GEMI5_HUMAN	GEMIN5	1508	24.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Gem-associated protein 5	1.0000	0.9990	24	92	92	92	12	12	12	11	11	11	1.19910707E9	1.19910707E9	1.19910707E9	8	8	8	9	9	9	1.18169395E9	1.18169395E9	1.18169395E9	11	11	11	11	11	11	1.48245094E9	1.48245094E9	1.48245094E9	30	30	30	18	18	18	1.69334694E9	1.69334694E9	1.69334694E9	17	17	17	13	13	13	1.46834867E9	1.46834867E9	1.46834867E9	14	14	14	10	10	10	1.30493197E9	1.30493197E9	1.30493197E9	
1937	a	sp|Q8TEX9|IPO4_HUMAN	Q8TEX9	IPO4_HUMAN	IPO4	1081	11.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Importin-4	1.0000	0.9990	9	63	63	63	2	2	2	2	2	2	0.0	0.0	0.0	11	11	11	9	9	9	4.0000096E8	4.0000096E8	4.0000096E8	14	14	14	6	6	6	3.97642016E8	3.97642016E8	3.97642016E8	15	15	15	6	6	6	3.73242944E8	3.73242944E8	3.73242944E8	8	8	8	5	5	5	5.03242656E8	5.03242656E8	5.03242656E8	13	13	13	6	6	6	3.356808E8	3.356808E8	3.356808E8	
1938	a	sp|Q8TF05|PP4R1_HUMAN	Q8TF05	PP4R1_HUMAN	PPP4R1	950	4.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 4 regulatory subunit 1	1.0000	0.9990	2	6	6	6	2	2	2	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
1939	a	sp|Q8WU90|ZC3HF_HUMAN	Q8WU90	ZC3HF_HUMAN	ZC3H15	426	17.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger CCCH domain-containing protein 15	1.0000	0.9990	9	43	43	43	8	8	8	7	7	7	1.77161376E8	1.77161376E8	1.77161376E8	5	5	5	4	4	4	1.90800528E8	1.90800528E8	1.90800528E8	5	5	5	4	4	4	1.78395632E8	1.78395632E8	1.78395632E8	11	11	11	6	6	6	2.1146008E8	2.1146008E8	2.1146008E8	7	7	7	4	4	4	1.77942448E8	1.77942448E8	1.77942448E8	7	7	7	4	4	4	1.8714944E8	1.8714944E8	1.8714944E8	
1940	a	sp|Q8WUA2|PPIL4_HUMAN	Q8WUA2	PPIL4_HUMAN	PPIL4	492	23.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase-like 4	1.0000	0.9990	7	16	16	16	6	6	6	5	5	5	5.15480192E8	5.15480192E8	5.15480192E8	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	8	8	8	6	6	6	1.9991992E8	1.9991992E8	1.9991992E8	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
1941	a	sp|Q8WUA4|TF3C2_HUMAN	Q8WUA4	TF3C2_HUMAN	GTF3C2	911	7.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	General transcription factor 3C polypeptide 2	1.0000	0.9990	4	7	7	7	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	3	3	3	3	3	3	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
